Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,32.38557434082031,35.2507003581886,26.76799662291043,28.908793360303974,855215656
2007-10-08,30.72766876220703,33.48012071257007,30.534513396740614,33.48012071257007,126671715
2007-10-09,32.82016372680664,33.10989448558306,29.08584404042665,30.743751950556256,116725709
2007-10-10,33.125999450683594,33.80204096867718,32.83626861907928,33.67327001215155,67931378
2007-10-11,36.82813262939453,38.630908841057305,32.8362738248115,38.630908841057305,106320954
2007-10-12,36.586692810058594,37.95487064587003,35.733594562180855,36.05551875884237,99410791
2007-10-15,37.0695686340332,37.56855361773639,36.747644528305386,37.34320499717687,41814972
2007-10-16,40.8521842956543,41.49603699041757,36.86032553292788,37.117863117732455,138614496
2007-10-17,44.03923797607422,45.06939270416665,34.15616198974703,36.699364252332515,204876259
2007-10-18,42.49399948120117,48.11157803502763,40.675128780773825,44.747468687558325,146617799
2007-10-19,42.34914016723633,44.071435522901716,40.24053402224127,41.5282308315049,110266491
2007-10-22,41.78575897216797,43.08954981313224,40.40148274090807,41.49602815932869,72253405
2007-10-23,44.763545989990234,45.165951011901576,42.81590306411496,42.81590306411496,74594921
2007-10-24,44.07143020629883,46.19613055854366,43.57244513307889,45.71323994694737,63055170
2007-10-25,43.974857330322266,45.00501656382562,38.84016435974172,42.57448612322061,34522489
2007-10-26,45.29473876953125,46.019068113191636,43.54025039055912,44.74746596332643,62370025
2007-10-29,46.21222686767578,47.322867022635045,45.8098216472378,46.0351703172335,43657697
2007-10-30,47.24237060546875,48.51396806843824,45.45568938830007,46.839965515976886,79921711
2007-10-31,48.22423553466797,49.286587552362576,47.32284991332816,47.483811943308446,44655368
2007-11-01,47.14580154418945,49.7855812813992,46.759495189772004,49.415369387691605,50632492
2007-11-02,47.9989013671875,48.28863660130121,45.0693906681138,45.43960694139779,32001693
2007-11-05,48.98076248168945,50.05920905563524,47.67696729836697,47.96670247224413,38833135
2007-11-06,49.62461853027344,52.763378903079875,48.94857696131693,49.83386834851875,81880281
2007-11-07,48.90029525756836,51.25034002932942,47.80575391683548,50.542109451855744,33593141
2007-11-08,48.06328201293945,49.36707730640477,47.000934173560566,47.64478240745693,27990521
2007-11-12,49.22220993041992,50.09140679667139,45.343021683779455,46.61462369804081,35153735
2007-11-13,50.397247314453125,51.41130772051285,48.46570202048159,50.05922863455875,43830531
2007-11-14,49.7372932434082,51.990762246708975,49.47975130891987,51.28252738483562,36738579
2007-11-15,50.57429885864258,51.459590287268675,49.62462085229335,50.67087435885146,29242252
2007-11-16,50.220184326171875,51.363013399211226,49.64071819218804,50.348953122709595,18895294
2007-11-19,52.039066314697266,53.922324017046115,50.976718055104065,51.363024528421136,40716718
2007-11-20,51.23424530029297,53.278464709683135,50.606491404856826,51.829805904562306,26342171
2007-11-21,47.24237060546875,51.8458830827058,46.09953753148706,51.54005783451678,26814499
2007-11-22,45.616661071777344,48.64275147785787,43.63682848602828,46.74339556065289,34096185
2007-11-23,48.64274597167969,48.932476791318976,45.9063867277806,48.61055268808086,27664090
2007-11-26,49.0290641784668,50.445529703313106,48.64275778062298,50.445529703313106,20159123
2007-11-27,47.82184600830078,49.86606532697377,47.322865299675314,49.86606532697377,20573198
2007-11-28,47.11360168457031,49.09343839450024,46.79167758427277,48.868089777741936,16435311
2007-11-29,45.842018127441406,48.546180523641794,45.24645748648399,48.28864291119467,25530967
2007-11-30,47.61259460449219,47.90232546982944,46.035167123099754,46.67901543112734,18437721
2007-12-03,48.28863525390625,48.88419580042367,47.82184349319311,48.19205538977128,16851227
2007-12-04,47.660884857177734,49.01296812158914,47.30676739589132,48.610562907940036,14008727
2007-12-05,49.56023406982422,49.73729497464344,47.64478797017189,47.7413634699818,27725290
2007-12-06,48.64274597167969,51.39519530781554,48.01499222381532,50.63867279193095,24104710
2007-12-07,48.43349075317383,49.64070611393838,47.56429831324835,48.948570180375036,11742386
2007-12-10,48.481788635253906,49.077344791066345,47.85403482633609,48.90028826361544,8330010
2007-12-11,48.256439208984375,49.19001831069985,48.01499611200405,48.916381927513726,11685950
2007-12-12,48.22423553466797,48.658833888889646,47.32284991332816,47.644773973288736,16342131
2007-12-13,47.41943359375,48.9324786840443,47.242377076670465,48.28863045266379,14620172
2007-12-14,46.952640533447266,47.69306859813399,46.71119745360107,47.25847018113583,10991851
2007-12-17,44.119728088378906,47.4838381157695,43.45978078188082,47.226296106022595,19355678
2007-12-18,43.92655944824219,45.39131254089077,42.55838185118833,43.62072976823285,21607783
2007-12-19,43.12174606323242,45.72933229096696,42.7515342009978,45.34302160301544,19526912
2007-12-20,42.68715286254883,44.03923606971298,42.493997494900256,43.68511862341991,17105204
2007-12-24,43.990928649902344,44.683064405326576,42.97686451475586,43.33098180271384,16711519
2007-12-26,45.326927185058594,45.87419993242705,44.232386056697,44.232386056697,20930094
2007-12-27,45.64885711669922,46.90436046401697,45.26254637919721,46.26051214576419,44565277
2007-12-28,46.00297546386719,46.19613083639226,45.06939189105865,45.552278139183365,18354518
2007-12-31,46.34099197387695,46.61462837525484,45.777624710136024,46.35709080123785,11982308
2008-01-01,47.194095611572266,47.628694139059554,46.147841999580315,46.582440527067604,16687746
2008-01-02,46.936546325683594,47.548201257956606,46.244410366364775,47.19408386568007,13437280
2008-01-03,48.868106842041016,49.06126224294266,46.08346327537005,46.64683064761351,31815218
2008-01-04,48.61055374145508,50.22017429252559,48.28862963124098,49.57632607209739,28011310
2008-01-07,48.20815658569336,49.31879232999904,47.693077050792105,48.30473208819789,15858063
2008-01-08,46.566341400146484,48.93248482047358,46.002974127038875,48.25644321946929,13282666
2008-01-09,45.825923919677734,46.82388990972382,45.713249565476644,46.61464003270855,13113527
2008-01-10,44.73137664794922,47.322868995429545,44.42554692111649,46.035172236346526,18023003
2008-01-11,45.40741729736328,45.84201581704376,43.62073546453823,45.34303071430833,11629440
2008-01-14,46.099552154541016,46.58243841510566,44.763567706920696,45.48789709776767,10264240
2008-01-15,44.69917678833008,47.03312682125555,44.32896489776186,46.83997582887257,11558334
2008-01-16,43.781700134277344,44.74747273872274,42.671064258991,44.37726078029396,14834065
2008-01-17,44.95671844482422,45.95468415360822,43.00907477505412,43.942653909190525,16169395
2008-01-18,42.86421585083008,44.63479880191813,42.493999558865376,44.58650668287853,13254156
2008-01-21,35.57262420654297,42.49399282814056,30.9852032857848,42.49399282814056,33202389
2008-01-22,31.9992733001709,33.80204969123172,25.415921671707064,32.06365770345417,58755707
2008-01-23,35.57262420654297,36.94080172476575,32.51434504816264,32.51434504816264,28425991
2008-01-24,35.653106689453125,38.18021202286468,33.96300498044468,37.488076005783945,29911930
2008-01-25,37.48807144165039,37.66512794782081,35.97502644458045,37.3432038519655,12550722
2008-01-28,37.89047622680664,38.180207037242404,33.963000545510845,36.972991688447586,13601109
2008-01-29,37.26272201538086,38.53432391282838,36.699354859919914,37.987051215259214,7679877
2008-01-30,35.20241165161133,37.50416820518528,34.73561993737856,37.34320614736367,9016102
2008-01-31,32.90065383911133,35.66920218469349,32.51434532612463,35.57262451064989,41538563
2008-02-01,34.043495178222656,34.28493834450258,33.1582035685296,33.46403114251317,9089201
2008-02-04,35.797977447509766,36.216479322068366,34.687339452741696,34.687339452741696,12009385
2008-02-05,36.90861129760742,37.39149751790569,35.089740741092406,35.8623578202945,14593303
2008-02-06,36.586692810058594,37.021291348826914,34.54247547117089,35.89455666051161,12429218
2008-02-07,34.86439514160156,37.327116236255065,34.63904866983149,36.087707366737824,11300078
2008-02-08,33.963008880615234,35.379474364217735,33.33525499863039,35.08974348267705,13514197
